	intensity_height	retention_time	spectrum	adduct	precursor_mz	peak_id
469	1207722.0	5.080471	55.05439:12872 56.04966:116765 58.99207:1305 67.05427:10991 69.0573:5061 79.10595:1301 82.06506:3796 84.04454:7708 84.08074:448316	[M+H]+	84.08073	469
470	1135669.125	5.080471		[M+H]+	102.0913	470
471	395545.0	5.089772		[M+H]+	121.9661	471
472	2009572.0	5.09782	50.85763:1777 52.32616:1479 53.00233:3414 55.05454:3680 56.04973:12006 56.94244:2879 57.07003:78878 67.05402:3157 68.04958:5520 70.98425:1451 72.93716:2345 79.05402:3623 80.04919:1877 81.04469:9029 81.06963:4067 82.05243:11392 82.0731:3557 83.06046:8742 84.04448:2598 94.05238:19309 95.0603:13981 95.08526:3254 96.08862:2174 107.06029:1687 109.03957:4686 110.04739:50050 111.05522:33792 112.02691:1843 113.96326:2015 115.939:1828 123.05509:48157 141.06572:160721 167.11771:7311 170.24542:1720 179.11823:3985 196.16965:2641 197.12837:389959 197.17245:98480	[M+H-NH3]+	197.1285	472
473	896776.1875	5.107028	52.04564:1216 55.05441:68704 56.04956:3870 57.93499:9140 58.02893:15110 58.06529:1313 67.21231:1205 69.03342:5899 69.10478:1194 75.94544:2361 82.06508:3159 83.08546:84122 92.94556:1772 93.95585:3698 98.06013:1477 100.0756:128213 100.11192:20865	[M+H]+	100.112	473
474	896889.9375	5.138404		[M+H]+	139.0865	474
475	2818406.5	5.138404	53.00248:8729 53.82827:2395 55.05438:10351 59.96673:1706 61.01075:334780 63.18691:2984 67.0545:2081 75.79229:2250 85.87659:1901 89.04185:841436 146.61232:2011 152.02734:2161 154.67737:2199 228.23215:2670 229.10019:233720 229.23151:2164	[M+H-NH3]+	229.1004	475
476	105222.25	5.138404		[M+H]+	231.0963	476
477	753553.875	5.138404		[M+H]+	284.1392	477
478	127582.1875	5.138404		[M+H]+	285.1424	478
479	653907.0625	5.147874		[M+H]+	103.9555	479
480	140245.375	5.147874		[M+H]+	112.8262	480
481	148434.5	5.147874		[M+H]+	113.5018	481
482	195405.125	5.157542		[M+H]+	64.10297	482
483	107815.25	5.157542		[M+H]+	66.11555	483
484	104790.0	5.157542		[M+H]+	69.13732	484
